Title,Location,Shuttle shop,Neighbourhood
Black Dog Home,1325 N. Main St. ,Shuttle Stop: 0 (Go Anywhere Shuttle),
Black Red White,"220 Elm - 204, Level 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Blaxsand,1547 W. English Rd.,Shuttle Stop: 0 (Go Anywhere Shuttle),
Bliss Studio,"Suites At Market Square - G-1001, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Blue Ocean Traders,"IHFC - H313, Hamilton, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Blue Ocean Traders Presents: Gypsy Marketplace,105 Depot Pl.,Shuttle Stop: 2 (Green Line),Neighborhood: Commerce Concourse
Blue Pheasant,The Bank on Wrenn - 203 N. Wrenn St.,Shuttle Stop: 25 (Red Line),Neighborhood: Hamilton Wrenn
Blue Yonder Inc.,"Plaza Suites - 1-419A, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Bobo Intriguing Objects,300 W. Broad Ave.,Shuttle Stop: 27 (Red Line),Neighborhood: North Elm
"Boda Acrylic, LLC","Suites At Market Square - G-6057, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Boga Oriental Rugs,"Suites At Market Square - G-1033, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Bojay,"IHFC - H211, Hamilton, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Bokara Rug Company,"Market Square - 140, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Bold Monkey,"IHFC - IH200, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Boliya,"812 Millis, Floor 2",Shuttle Stop: 0 (Go Anywhere Shuttle),
Bolton Furniture,"Centers of High Point: Hamilton - 114, Level 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Bones Studio,"Suites At Market Square - M-4001, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Bontempi Casa,"IHFC - IH103, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Boone's Antiques, Inc.","Market Square - G-24, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Borkholder Furniture,"Radio Building, Floor 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Boss Seating/Presidential Seating,"Radio Building, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Bostan Carpets,"310 N. Hamilton St. - S-206, Floor 2",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Bougainvillea,"IHFC - H313, Hamilton, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Bracci,"200 Steele - 113, Floor 1",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Bradburn Gallery,"200 Steele - 115, Floor 1",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Braden River Antiques,"Chelsea On Green - A302, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
Bradington-Young,"IHFC - C1058, Commerce, Floor 10",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Bramble Co., The","Showplace - 2340, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Branch Home,200 E. Martin Luther King Jr. Dr.,Shuttle Stop: 16 (Red Line),Neighborhood: Hamilton Wrenn
Braxton Culler,310 S. Elm St.,Shuttle Stop: 8 (Green Line),Neighborhood: Russell & Green
Brentwood Classics Limited,"Commerce & Design - 8I, 8K, 4N, Floor 8",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Brentwood Textiles,"312 S. Hamilton St. - 3rd Fl, Ste. 301",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Brown Jordan,"IHFC - M111, Main, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
Browne & Moore,116 S. Lindsay St.,Shuttle Stop: 6 (Green Line),Neighborhood: Market Square & Elm
Bru Textiles,"Market Square Tower - 378, Floor 3",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Bruce Andrews Design,"Suites At Market Square - G-1038, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Brunswick Billiards,"Suites At Market Square - M-3040, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Bulova ,"IHFC - H437, Hamilton, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Bungalow 5,"IHFC - IH609, IH610, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
BunkRoomHome,"Suites At Market Square - G-1037, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"Burton James, Inc.","310 N. Hamilton St. - S-101, Floor 1",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Butler Specialty Company,"Commerce & Design - 5I, 5H, 5L, Floor 5",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Caesar Furniture LLC,"Plaza Suites - 1-419A , Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Cal Lighting and Accessories,"IHFC - H432, Hamilton, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Calia Italia,"Casa Italia - 130 W. Commerce Ave., Floor 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
California House,"200 N. Hamilton St. - N Ct 201, Floor 2",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
California Shells and Corals,"Suites At Market Square - T-736, Top Floor",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"Calligaris USA, Inc.","Casa Italia - 130 W. Commerce Ave., Floor 1",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Callisto Home,"Suites At Market Square - G-1009, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Camerich USA,"IHFC - D740, Design Center, Floor 7",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Canaan Company,"IHFC - D335, Design Center, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Canadel Inc.,"National Furniture Mart - 102, Floor 1",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Canal Dover Furniture,"Atrium on Main - 103, Floor 1",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Cane-line,"IHFC - IH504, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Canyon Furniture,"Market On Green - 201, Floor 2",Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
Capa,319 N. Main St.,Shuttle Stop: 26 (Red Line),Neighborhood: Downtown Main
Capa Boutique,201 W. High Ave.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Capel Rugs,"Market Square - 112, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Capital Garden Products Ltd,"Suites At Market Square - M-3001, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Capris Furniture,"Showplace - 3402, 3413, 3555 , Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Caracole,122 N. Hamilton St.,Shuttle Stop: 16 (Red Line),Neighborhood: Commerce Concourse
Care By Me USA,"Suites At Market Square - M-6053, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Carol Pollard,"Market Square - G-30A, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Carolina Chair and Table,"Suites At Market Square - M-1040, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Carolina Custom Leather,218 Martin Luther King Jr. Dr.,Shuttle Stop: 16 (Red Line),Neighborhood: Hamilton Wrenn
Carter Furniture,"525 N. Wrenn St., Floor1",Shuttle Stop: 22 (Red Line),Neighborhood: Hamilton Wrenn
Carvers' Guild,"Market Square - 138, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Casa Bonita Home Furnishings,"Suites At Market Square - G-7048, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Casa Ispirata,"IHFC - IH104, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Casabianca Furniture,"IHFC - H507, Hamilton, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Cassady Closeouts,"Atrium on Main - T-Foyer, Terrace",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Cates Cove,"200 N. Hamilton St. - N Ct 205, Floor 2",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Catiques,"Market Square - G-62B, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Catnapper Furniture,"Plaza Suites - 300, Floor 3",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Cavalletto Home,"IHFC - IH104, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Celadon Art,"IHFC - D237, Design Center, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Centers of High Point -  Centennial,Centers of High Point: Centennial - 401 S. Centennial St.,Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Centers of High Point - 212 E. Russell,Centers of High Point: 212 E Russell,Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Centers of High Point - 411 Manning,Centers of High Point: 411 Manning,Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Centers of High Point - Hamilton,Centers of High Point: Hamilton - 401 S. Hamilton St.,Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Centers of High Point - Manning,Centers of High Point: Manning - 401 Manning St.,Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Centers of High Point - Russell,Centers of High Point: Russell - 401 E. Russell Ave.,Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Central Oriental Rugs,"IHFC - M436, Main, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
Century Furniture,"200 Steele - 213, Floor 2",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
CFC,114 S. Elm St.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Chaddock,"200 Steele - 106, Floor 1",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Chairs America Inc,"Plaza Suites - 1-509, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
CHANDRA,"IHFC - IH408, H407, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Charles Harold Company,"200 Steele - 104, Floor 1",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Charles Harold Company,"525 N. Wrenn St., Floor1",Shuttle Stop: 22 (Red Line),Neighborhood: Hamilton Wrenn
Charleston Forge,"311 N. Hamilton St., 2nd Fl",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Charter Street,"IHFC - D319, Design Center, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Chateau D'Ax USA Ltd,"IHFC - D1224, D1202, Design Center, Floor 12",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"CHC ART, Inc.","200 Steele - 312, Floor 3",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Cheers/Man Wah USA,"National Furniture Mart - 401, Floor 4",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Chelsea House,"200 N. Hamilton St. - S Ct 104, Floor 1",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Chesterfield Leather,"Suites At Market Square - G-3018, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Chichester and Brown Closet,1125 Bedford St.,Shuttle Stop: 0 (Go Anywhere Shuttle),
ChimneyFree by Twin Star Home,"Market On Green - 602, Floor 6",Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
Chintaly Imports,"Furniture Plaza - 214, 225, Floor 2",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Chloe Jewelry,"Suites At Market Square - T-716, Top Floor",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Christina Sodano Art,"Suites At Market Square - M-6045, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Chromcraft,"Centers of High Point: Hamilton - 239, Level 2",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Circa Loft,418 W. Martin Luther King Jr. Dr.,Shuttle Stop: 28 (Red Line),Neighborhood: North Elm
Cisco Home,1014 Mill Ave.,Shuttle Stop: 0 (Go Anywhere Shuttle),
Clark Hall Doors,"Suites At Market Square - G-7034, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Classic Brands,"Furniture Plaza - 510, Floor 5",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Classic Flame by Twin Star Home,"Market On Green - 602, Floor 6",Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
Classic Home,"Showplace - 2400, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Classical Elements, LLC","Market Square Tower - 408, Floor 4",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
"Classy Art Wholesalers, Inc.","Centers of High Point: Hamilton - 113, Level 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Clayton & Company,419 N. Hamilton St.,Shuttle Stop: 20 (Red Line),Neighborhood: Hamilton Wrenn
Clientbook Inc.,"Plaza Suites - 1-527 #T-1, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Cloud9 Design,"Suites At Market Square - G-1025, G-2027, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Clubcu,1547 W. English Rd.,Shuttle Stop: 0 (Go Anywhere Shuttle),
CNDOER,114 S. Main St.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Coast Lamp Mfg,"Showplace - 3309, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Coast To Coast Imports,"IHFC - C1103, Commerce, Floor 11",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Coaster Fine Furniture,111 E. Commerce Ave.,Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
Cochrane,"Centers of High Point: Hamilton - 235, Level 2",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
CODARUS,"IHFC - H220, Hamilton, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
CODARUS,"Suites At Market Square - T-460, Top Floor",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
CODARUS Home,"IHFC - H220, Hamilton, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
COHAB.Space,1547 W. English Rd.,Shuttle Stop: 0 (Go Anywhere Shuttle),
Coleccion Alexandra Inc.,500 N. Wrenn St.,Shuttle Stop: 22 (Red Line),Neighborhood: Hamilton Wrenn
Coley Home,"Suites At Market Square - M-5003, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Colibri,"220 Elm - 332, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Collection Tuff Avenue,"IHFC - C609, Commerce, Floor 6",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Commerce & Design Building, The",Commerce & Design - 201 W. Commerce Ave.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"Common Ground, Inc.","Market Square - 277, Floor 2",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
COMPOSAD,Casa Italia - 130 W. Commerce Ave.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
CONARTE AMERICA LLC,"200 Steele - 119, Floor 1",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Condor,"Suites At Market Square - M-2022, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
CONFORM Sweden,"220 Elm - 334, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Connubia,"Casa Italia - 130 W. Commerce Ave., Floor 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Consumer Priority Service,"Plaza Suites - 1-557, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Contempo USA,"IHFC - D724, Design Center, Floor 7",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Continental Home,"Suites At Market Square - M-7033, M-8029, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
COOHOM,"Suites At Market Square - M-1011, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Cooper Classics,"IHFC - H327, Hamilton, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Copeland Furniture,"Showplace - 5100, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Corbett Lighting,"Market Square - M70, M90, M97, M99, Mezzanine",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
CordaRoy's,"Plaza Suites - 1-541, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Core Nine Massage,"Centers of High Point: Hamilton - 024, Lower Level",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Corinthian Inc,"Centers of High Point: Hamilton - 101, Level 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Cortney’s Collection,"Commerce & Design - 8N, Floor 8",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Cosmos Furniture,"IHFC - W800, W820, Wrenn, Floor 8",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Costantini Pietro,"200 Steele - 308, Floor 3",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
"Country View Woodworking, Ltd.","IHFC - D1101, D1102, Design Center, Floor 11",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
County Road,"Suites At Market Square -  M-8031, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Couristan Rugs & Carpet ,"Suites At Market Square - M-7055, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
COUTURE Jardin,"IHFC - IH410, IH411, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Couture Lamps, Inc.","Suites At Market Square - G-7010, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Coverstore,"Suites At Market Square - M-3011, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Covington Fabric & Design,"Market Square Tower - 832, Floor 8",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Cozy Earth - Bamboo and Silk Bedding,"Suites At Market Square - M-4037, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Cozzia USA,"Furniture Plaza - 515, 517, Floor 5",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
"CR Laine Furniture Company, Inc.","310 N. Hamilton St. - S-204, Floor 2",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Craftmaster Furniture Incorporated,"2622 Uwharrie Rd., High Point",Shuttle Stop: 0 (Go Anywhere Shuttle),
Cramco Casual Dining,"243 S. Main St., 1st Fl",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Crawford & Burke,"Atrium on Main - 203, Floor 2",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Creative Accents,"230 South Road, High Point",Shuttle Stop: 0 (Go Anywhere Shuttle),
Creative Affiliates,"Atrium on Main - T-103, Terrace",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Creative Living,"Market On Main - 233 S. Main St., Floor 4",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Creative Metal And Wood Inc,412 N. Wrenn St.,Shuttle Stop: 23 (Red Line),Neighborhood: Hamilton Wrenn
